seed,draw,R2Y,Q2,r_pcorr,top_overlap
88,random,0.6553162667552807,0.3622009828386693,0.961421961827514,5
89,matched,0.6550831017872869,0.37214362867805995,0.9719785555165691,6
89,random,0.7059014382366415,0.3844108297925891,0.9059102889456463,5
90,matched,0.6817531464979163,0.37919332066710165,0.9647610343617657,6
90,random,0.6680786907384721,0.396832118738651,0.9823564451770315,8
91,matched,0.7050795734640134,0.32588414972855484,0.9518462002953921,5
91,random,0.6821278310321683,0.3287580633969921,0.9582493533198967,6
92,matched,0.6786196457444709,0.37453871752278134,0.9730458836873415,7
92,random,0.6595325448680172,0.4327241476386591,0.9599286815885893,7
93,matched,0.6873110002644492,0.383673759423259,0.9652220744355321,5
93,random,0.6910515052837025,0.2676746716468168,0.9452178312348533,5
94,matched,0.7139100548623124,0.3788398833175336,0.9498217039714728,5
94,random,0.6422974311072644,0.3789898572831606,0.9748810679809711,8
95,matched,0.6649568741121809,0.3847763544248701,0.9773021403683425,8
95,random,0.6598281885157249,0.39190151096355086,0.9697198671551789,7
96,matched,0.7288773158796225,0.4405247038357678,0.9535761205721793,7
96,random,0.6775237646288544,0.3366569038693288,0.9595149695223952,8
97,matched,0.7246381179819663,0.3986023490346,0.9534806485569038,6
97,random,0.6558926357488691,0.35471895527872277,0.9768427322948373,9
98,matched,0.6518304303733595,0.30746511816014477,0.9602877216460356,6
98,random,0.6564081844389869,0.3407734591255589,0.9645374503259923,7
99,matched,0.7231780565723047,0.42592458315343706,0.9488335278133645,9
99,random,0.66715291800105,0.3251779003687616,0.9623970819835332,7
100,matched,0.6674593053269842,0.4311491440011035,0.9630033700805393,6
100,random,0.6619172501178154,0.27501096640729517,0.9684868909579026,7
101,matched,0.6445698266316564,0.41038655085875697,0.9659246505479442,7
101,random,0.6615463234166419,0.36169105967792403,0.9825783972125437,6
102,matched,0.722254219271655,0.45730258489623465,0.9378452700552434,6
102,random,0.6621830644323856,0.39685877033172845,0.966845098695216,6
103,matched,0.6753963606571296,0.32622936770512145,0.9643473222955716,8
103,random,0.733303541750967,0.43867555255181356,0.9394674783147966,4
104,matched,0.7034092408089279,0.4346245443703234,0.9572554651608746,7
104,random,0.7073506156288503,0.4238542825869086,0.9845196615231459,6
105,matched,0.7322515500628938,0.4567111523848555,0.933053717288595,6
105,random,0.7035824564275581,0.364867334591888,0.9437726950036315,7
106,matched,0.67709248283951,0.30580984282311674,0.967301242768199,8
106,random,0.7039833112394359,0.3480654228836473,0.9525275604044098,7
107,matched,0.6942503814408169,0.38566577412155056,0.9550114648018344,6
107,random,0.7019702179962609,0.38685606567446773,0.9071016491362639,5
108,matched,0.6634098658587264,0.37825345642192243,0.9662812426049989,8
108,random,0.6750517551167079,0.4315297987792184,0.978659148585464,7
109,matched,0.6701856517795268,0.32514337067905863,0.9832956613273058,9
109,random,0.673160744732308,0.24360434987212476,0.9594162335065975,4
110,matched,0.6900375780070823,0.41461449146122864,0.9615508898481426,8
110,random,0.6603902437867247,0.44446871621388273,0.9712490513998485,7
111,matched,0.6801410860595023,0.4151318851508369,0.9695509551281529,6
111,random,0.6640626941400025,0.43718448511769903,0.9752719320435094,6
112,matched,0.6882671719199169,0.3274057349336319,0.9527821524451445,7
112,random,0.6741788295179785,0.3849070476876504,0.9804388448702154,5
113,matched,0.7056361495126218,0.34661557709330315,0.9200727872116461,5
113,random,0.6858848157840043,0.3707579206608519,0.9436804869888781,6
114,matched,0.6586616015370969,0.2914475795560231,0.9668532586965215,7
114,random,0.7091276297437454,0.32270718494957795,0.9334519253523083,7
115,matched,0.6820278168475616,0.4171611920270246,0.9499873519979763,6
115,random,0.6490788612655102,0.4084543221578061,0.9611624737859958,8
116,matched,0.6863668976463938,0.3662259227966096,0.9627585700413713,9
116,random,0.6946170348635534,0.2890648980419327,0.9580755452920873,7
117,matched,0.6898314246180451,0.4035432482943274,0.94637899942064,6
117,random,0.6592492713296509,0.4102445715955215,0.9631257701001233,5
118,matched,0.6819928134973728,0.4260174359114418,0.9762315481970477,8
118,random,0.7128768349646868,0.39899306688297786,0.9353474936555992,6
